0~Guardians Of The Galaxy~Chris Pratt apparently stole his Star-Lord costume from the set, for the sole purpose of having it available so he could show up in costume to visit sick children in the hospital, who might want to meet Star-Lord.~https://static.boredpanda.com/blog/wp-content/uploads/2017/09/Interesting-Movie-Facts-59b693f66ffa8__700.jpg
1~The Theory Of Everything~In an e-mail to director James Marsh about the portrayal by Eddie Redmayne, Stephen Hawking said there were certain points when he thought he was watching himself. In addition to his copyrighted voice, Stephen Hawking also lent the filmmakers his Companion of Honour medal and his signed thesis to use as genuine props in the film.~https://static.boredpanda.com/blog/wp-content/uploads/2018/01/interesting-movie-facts-109-5a560508045b3__700.jpg
2~Armageddon~NASA shows this film during their management training program. New managers are given the task of trying to spot as many errors as possible. At least one hundred sixty-eight have been found.~https://static.boredpanda.com/blog/wp-content/uploads/2018/01/interesting-movie-facts-99-5a560ed0840f8__700.jpg
3~Dallas Buyers Club~The film's budget was so low that the makeup budget was $250. The film's artists were able to work with that, and the film's Makeup and Hairstyling won an Oscar.~https://static.boredpanda.com/blog/wp-content/uploads/2017/11/Interesting-Movie-Facts-5a0ef96f59505__700.jpg
4~The Godfather~The cat held by Marlon Brando in the opening scene was a stray that Coppola found while on the lot at Paramount, and was not originally called for in the script. So content was the cat that its purring muffled some of Brando's dialogue, and, as a result, most of his lines had to be looped.~https://static.boredpanda.com/blog/wp-content/uploads/2018/01/interesting-movie-facts-102-5a55e6f68fc15__700.jpg
5~The Matrix~Kung Fu choreographer Woo-Ping Yuen initially refused to work on the film, and hoped that by asking for an exorbitant fee, it would turn off the Wachowskis. It didn't. He next formulated what he considered an impossible request. He said that he'd agree only if he had complete control of the fights, and that he trained the actors for four months before they shoot. The Wachowskis complied with his request.~https://static.boredpanda.com/blog/wp-content/uploads/2017/08/Interesting-Movie-Facts-59a81e328254a__700.jpg
6~Elizabeth: The Golden Age~In the film, when Elizabeth arrives at St. Paul's Cathedral, construction is going on. In real life, St. Paul's actually needed repair work. Director Shekhar Kapur decided to improvise, and gave the workers costumes and period tools to cut real stone that was being installed in the cathedral. The workers in the scene are real-life stonemasons and construction workers.~https://static.boredpanda.com/blog/wp-content/uploads/2017/12/Interesting-Movie-Facts-5a2a623691fc7__700.jpg
7~Django Unchained~When Calvin Candie (Leonardo DiCaprio) smashes his hand on the dinner table, DiCaprio accidentally crushed a small stemmed glass with his palm and really began to bleed. He ignored it, stayed in character, and continued with the scene. Quentin Tarantino was so impressed that he used this take in the final print, and when he called cut, the room erupted in a standing ovation.~https://static.boredpanda.com/blog/wp-content/uploads/2017/09/Interesting-Movie-Facts-59b7ca89d1abe__700.jpg
8~Forrest Gump~Tom Hanks was not paid for this film. Instead, he took percentage points which ultimately netted him in the region of forty million dollars.~https://static.boredpanda.com/blog/wp-content/uploads/2017/09/Interesting-Movie-Facts-59bbe693ce3aa__700.jpg
9~Titanic~After finding out that she had to be naked in front of Leonardo DiCaprio, Kate Winslet decided to break the ice, and when they first met, she flashed him.~https://static.boredpanda.com/blog/wp-content/uploads/2018/01/interesting-movie-facts-104-5a55e8e69d3c1__700.jpg
